epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,7238.15,0.01224,0.99956,1,0.0022,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7343.29,0.01395,0.99956,1,0.00222,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7448.21,0.01369,0.99956,1,0.00223,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7552.55,0.01389,0.99956,1,0.00223,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7657.23,0.01355,0.99956,1,0.00224,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7761.45,0.01106,0.99956,1,0.00226,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7865.85,0.01181,0.99956,1,0.00226,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,7970.59,0.01142,0.99956,1,0.00227,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8075.21,0.01188,0.99956,1,0.00231,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,8179.76,0.01042,0.99956,1,0.00233,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,8284.38,0.01336,0.99942,1,0.00234,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,8388.87,0.01221,0.99942,1,0.00233,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,8493.73,0.01328,0.99942,1,0.00232,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,8598.51,0.00979,0.99942,1,0.00233,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,8703.12,0.01197,0.99942,1,0.00231,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,8807.86,0.01142,0.99942,1,0.00231,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,8912.18,0.01097,0.99942,1,0.00229,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,9016.53,0.00975,0.99942,1,0.0023,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,9121.3,0.01158,0.99942,1,0.00229,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,9225.75,0.01066,0.99956,1,0.00229,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,9330.05,0.00854,0.99942,1,0.00228,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,9434.66,0.01073,0.99956,1,0.00227,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,9539.43,0.00904,0.99942,1,0.00228,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,9644.01,0.00783,0.99942,1,0.00229,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,9748.66,0.00954,0.99942,1,0.00231,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,9855.09,0.00738,0.99942,1,0.00232,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,9980.56,0.0088,0.99942,1,0.00232,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,10085.7,0.00863,0.99942,1,0.00233,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,10191.8,0.00689,0.99927,1,0.00234,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,10297.9,0.00789,0.99942,1,0.00233,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,10429.7,0.00733,0.99942,1,0.00233,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,10567.8,0.00441,0.99942,1,0.00234,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,10708.1,0.00805,0.99942,1,0.00234,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,10855.3,0.00657,0.99942,1,0.00234,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,10994.4,0.00745,0.99942,1,0.00235,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,11133.5,0.00617,0.99942,1,0.00235,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
